ticker,return,max_drawdown,sharpe
A32,43.52656810737783,-0.5501432664756448,0.5228192875570027
AAA,-18.302503092582278,-0.48306451612903223,-0.19874386570619815
AAM,-27.57575757575762,-0.39904761904761965,-0.26799774103442814
ABC,-33.4576310326669,-0.5457832218356996,-0.25743051581810494
ABI,30.630939432016536,-0.19333020826357727,0.6674565309550241
ABT,119.95055433868367,-0.16968220068974313,1.3183853581380718
ACB,74.49910283608796,-0.18198874296435244,1.25103375535978
ACC,12.048192771084153,-0.1733333333333334,0.3458376013890792
ACE,42.5757501589189,-0.14750519750519744,0.6691035604104099
ACL,-0.8130081300814385,-0.34545454545454635,0.0629850665110256
ACM,-10.833333333333528,-0.4444444444444454,0.18985787283856778
ACV,39.072543095825196,-0.39256009774624256,0.6149726057700673
ADC,17.865119014541065,-0.2288135593220339,0.3535913740037832
ADP,82.04447384709003,-0.2246239700239088,1.0486788986789384
ADS,-17.334926438782283,-0.493650884854056,-0.1594878852970595
AFX,7.517158731888185,-0.30928725701943716,0.23395740245487504
AGF,-33.63636363636358,-0.45454545454545425,-0.20669656253510665
AGM,-56.99092088197143,-0.8067444876783396,-0.5446331779765127
AGP,103.6189508037848,-0.12006113696505152,1.2070462721077917
AGR,22.655933134525053,-0.38327328719404313,0.4167995920273546
AGX,354.70582577280857,-0.2617801047120416,1.3549592171194607
ALT,-9.810342979437536,-0.41044056168935605,0.1339079252085552
ALV,361.8167621030709,-0.5350741123750433,1.2855416550848608
AMC,14.010470227765182,-0.2405660377358491,0.31716235811670407
AMD,0.0,0.0,
AME,4.597701149425548,-0.5111111111111106,0.25404743355044396
AMP,31.37254901960791,-0.29333333333333333,0.47313295137536404
AMS,-21.036491827716386,-0.48729161178295455,-0.265579651419126
AMV,-47.36842105263172,-0.6666666666666672,-0.7296263973446439
ANT,259.18032313433423,-0.2200068166325834,1.5082047247331989
ANV,60.220094609523024,-0.40952380952381023,0.7597436894064981
APC,-6.8602150537638185,-0.36953846153846287,0.08730614744451891
APG,31.60569105691058,-0.6285714285714283,0.48638198003222854
API,109.30232558139541,-0.584070796460177,0.8273984876359428
APL,-30.14971052684592,-0.5249718331316031,0.08322686905014154
APP,18.749999999999645,-0.7657668073299037,0.44102553235182146
APS,82.25806451612937,-0.4886363636363629,0.7451951600675412
ARM,11.54860315041737,-0.49633251833740866,0.3436659303379406
ASA,0.0,0.0,
ASM,-11.893563991189504,-0.5146865010750645,-0.062224810364939265
ASP,13.953488372092849,-0.22874493927125558,0.3352991554616062
ATA,-26.0,-0.4310099573257468,0.016976274342471023
ATG,4.016393442623012,-0.6885245901639343,0.2139787687250633
ATS,60.714285714285786,-0.6161616161616162,0.6047888386945175
AVF,0.0,0.0,
BAX,-10.974399841573334,-0.2312836198842868,-0.035786274404877146
BBC,72.3932944953038,-0.20993589743589733,0.9249399632413374
BBS,16.417674484773272,-0.36834944852048,0.3402156258156827
BBT,143.81811789523002,-0.3397592672517145,0.8524933510705037
BCC,-14.141414141414177,-0.3800000000000001,-0.10547711177345456
BCE,95.6521739130433,-0.09876543209876527,1.5315663001771738
BCG,-50.68574285221137,-0.683656039322553,-0.7323086642956131
BCP,37.93103448275848,-0.22222222222222215,0.5083793533364305
BDG,62.1953739402171,-0.24489445683885366,0.880666669477134
BDW,42.593343609125526,-0.28033472803347287,0.5220915821512805
BED,132.5732657277682,-0.09792985390659295,1.7107430798847014
BEL,0.0,0.0,
BFC,153.90650087558663,-0.28217763585932604,1.2506688411340776
BHC,-12.500000000000089,-0.4032395566922422,0.0432118589037833
BHN,-7.288220072997198,-0.17469370630884942,-0.006888807598750924
BHP,-10.969788089952603,-0.37434827945776855,0.28637064788639144
BIC,116.2021306699617,-0.17399917589802852,1.3518184129650412
BID,35.88535014389036,-0.27818568133933247,0.6819058531298474
BII,-2.9339853300735186,-0.4000000000000008,0.1558603844070833
BKC,633.3333333333351,-0.6162915326902463,1.6309434108911947
BLF,-22.244289970208563,-0.6771814187068426,0.06783351029900099
BLI,-17.33356940509917,-0.3493097564758808,-0.1264164286758726
BLN,38.57797676153927,-0.2756093403783876,0.6951595627959489
BMC,29.20696061670922,-0.4525525845436358,0.4605153682167006
BMI,16.046605298816363,-0.24848489708996557,0.38063791026673455
BMJ,-4.855855855855895,-0.38723318566250536,0.3322064968586426
BMP,86.49622016073945,-0.22400000000000023,1.00602921688419
BPC,30.927565097804056,-0.2971014492753622,0.4628415798031244
BRC,29.097046919907932,-0.17845117845117794,0.6227119591141381
BRS,61.06696961833249,-0.22000000000000053,0.6741838149847001
BSC,0.0,0.0,
BSG,32.52054068380621,-0.38271604938271603,0.46848031901996323
BSI,48.546136205278344,-0.3127200510940629,0.6304779773526891
BSP,5.035508154804247,-0.3232171811423088,0.2346102489894807
BSQ,6.558093770709883,-0.22508547008546953,0.22373825934027392
BT1,17.050800885505634,-0.29487179487179493,0.3510338770677095
BT6,-19.297412769997656,-0.2167101827676241,-0.5341845550905536
BTB,-7.238995998544862,-0.4090909090909094,0.2782846540411814
BTD,-9.742267473096556,-0.33977081767742723,0.16772834428994032
BTG,-5.263157894736869,-0.5416666666666667,0.2936841223250685
BTH,401.91005802707986,-0.44973999254807273,1.3098399414613437
BTP,-21.07003126937419,-0.3774587296031267,-0.43528813376876374
BTS,-5.357142857143115,-0.19999999999999976,-0.0013986356153494227
BTT,55.54598642998345,-0.21052631578947356,0.7940842139868448
BTU,69.6096182592707,-0.3108571428571427,0.7460803989351036
BTV,9.433962264150786,-0.32442953020134196,0.34494839648586784
